"state_m","gender_m","city_m","OPEN_DT","empstat","age","p_churn"
"Arizona","M","Tucson","15MAY2014","parttime","          29","0.0301763881"
"UT","M","provo","25MAR2013","fulltime","          30"," 0.587137495"
"Arizona","F","Phoenix","25OCT2012","fulltime","          44","0.9224404343"
"CA","F","San Jose","15JUN2012","fulltime","          28","0.4542141736"
"CA","F","San Francisco","16MAY2014","fulltime","          30","0.1386943167"
"ID","M","BOISE","04JAN2014","fulltime","          53","0.0878255065"
"CA","F","San Jose","08JUN2012","fulltime","          45"," 0.446746906"
"CO","M","Denver","12DEC2012","parttime","          28","0.8056116005"
"ID","F","BOISE","24SEP2012","fulltime","          35","0.7841454925"
"OR","M","PORTland","30MAR2013","other","          30","0.5585787015"
"AZ","M","Phoenix","21MAY2014","fulltime","          32","0.9577296828"
"WA","M","Seattle","09FEB2014","fulltime","          26","0.3916552618"
"ID","M","BOISE","04MAY2014","parttime","          26","0.4757413615"
"UT","F","provo","09FEB2014","fulltime","          30","0.7214480055"
"ID","M","BOISE","03APR2014","fulltime","          56","0.4494750385"
"ID","F","BOISE","21NOV2012","parttime","          38","0.7049346677"
"WY","M","CHeyenne","01JUN2012","parttime","          29","0.5572716745"
"OR","M","PORTland","30MAR2013","other","          30"," 0.420360401"
"CA","F","San Francisco","30JUN2012","fulltime","          37","0.0088812285"
"AZ","M","Tucson","16MAY2014","fulltime","          54","0.1292531449"
"WA","F","Seatlle","10JUN2013","fulltime","          36","0.8058533989"
"OR","M","PORTland","04MAY2012","other","          54","0.2061167542"
"ID","M","BOISE","25AUG2012","fulltime","          43","0.9370796955"
"CA","M","San Diego","15FEB2014","fulltime","          28","0.6596492988"
"Nevada","M","Las Vegas","15FEB2014","fulltime","          31","0.0003764597"
"UT","F","provo","08DEC2013","fulltime","          52","0.1320128362"
"Arizona","M","Phoenix","06APR2014","fulltime","          34","0.9169610496"
"AZ","F","Phoenix","01OCT2012","fulltime","          44"," 0.826401207"
"CA","F","San Francisco","17APR2012","fulltime","          43","0.5601319017"
"Arizona","F","Tucson","05MAR2012","fulltime","          29","0.8428399637"
"AZ","M","Phoenix","17MAY2014","fulltime","          37","0.3458509237"
"UT","M","provo","07MAR2013","fulltime","          61","0.5979085679"
"ID","F","BOISE","18DEC2012","fulltime","          59","0.3344823864"
"CO","F","Denver","03APR2012","parttime","          37","0.9496327881"
"CA","F","San Jose","04AUG2013","fulltime","          29","0.0975971176"
"UT","F","provo","07FEB2012","fulltime","          30","0.8733985791"
"CA","M","San Jose","06JUL2013","fulltime","          54","0.7196632986"
"CA","F","San Jose","08OCT2012","fulltime","          32","0.8459788225"
"CA","Man","Los Angeles","04AUG2013","fulltime","          28","0.3321579403"
"CA","M","San Jose","01JAN2012","fulltime","          36","0.4831994215"
"UT","F","provo","25MAR2013","fulltime","          31"," 0.590735283"
"ID","F","BOISE","25MAR2013","parttime","          36","0.9204813628"
"ID","M","BOISE","13AUG2013","fulltime","          52","0.0277105132"
"Arizona","F","Tucson","01JAN2012","fulltime","          38","0.2599976576"
"OR","M","PORTland","21NOV2012","other","          50","0.1978803655"
"CO","M","Denver","08MAY2013","fulltime","          42","0.4611464732"
"CO","F","Denver","24APR2013","parttime","          31","0.0066064047"
"UT","M","provo","04DEC2012","fulltime","          42","0.4151064197"
"CA","F","San Jose","22MAY2014","fulltime","          36","0.1828632519"
"AZ","M","Tucson","18DEC2012","parttime","          26","0.5073844942"
"CA","Male","Los Angeles","19FEB2013","fulltime","          41","0.6329583342"
"ID","F","BOISE","15JUN2012","parttime","          32","0.4693296777"
"WA","M","Seattle","19JAN2014","fulltime","          28","0.6606449278"
"CA","F","San Jose","05OCT2013","fulltime","          32","0.8128965668"
"CA","F","San Jose","08MAR2012","fulltime","          38","0.1904856354"
"WA","M","Seattle","05NOV2012","fulltime","          28","0.0300479587"
"CO","M","Denver","18MAY2014","parttime","          46","0.7091765635"
"CA","Woman","Los Angeles","10FEB2012","fulltime","          41","0.3955683854"
"Wyoming","M","CHeyenne","10JUL2013","parttime","          34","0.5058513556"
"OR","M","PORTland","06JUL2013","other","          28","0.7763046016"
"CA","F","San Francisco","15FEB2014","fulltime","          32","0.7394520267"
"CA","Male","Los Angeles","26AUG2012","fulltime","          32"," 0.416902418"
"ID","M","BOISE","15DEC2012","parttime","          32","0.3835697395"
"CA","M","San Francisco","18MAY2014","fulltime","          33","0.2626237111"
"CA","M","San Francisco","09MAY2013","fulltime","          35","0.1736541289"
"CA","Female","Los Angeles","19FEB2013","fulltime","          32","0.5557472871"
"Wyoming","F","CHeyenne","16APR2014","parttime","          28","0.8441067249"
"CA","M","San Francisco","05SEP2013","fulltime","          33","0.7747929617"
"CO","F","Denver","05SEP2013","parttime","          57","0.1155014569"
"CA","Man","Los Angeles","19FEB2013","fulltime","          32","0.9686806863"
"CA","M","Los Angeles","19FEB2013","fulltime","          28","0.5485213998"
"CA","M","San Diego","06JUL2013","fulltime","          28","0.8611200749"
"UT","M","provo","25JUL2013","fulltime","          35","0.9816413158"
"CO","F","Denver","13SEP2012","parttime","          36","0.3049890233"
"Arizona","M","Phoenix","30MAR2012","fulltime","          34","0.6948353684"
"CA","Man","Los Angeles","19FEB2013","fulltime","          28","0.3810818239"
"CA","M","San Jose","21FEB2012","fulltime","          37","0.2435504828"
"ID","M","BOISE","20JUN2013","parttime","          29","0.4055757324"
"WA","F","Seatlle","27DEC2012","fulltime","          30","0.7735885953"
"CA","Female","Los Angeles","08JUN2012","fulltime","          37","0.8184703839"
"CO","F","Denver","26AUG2012","fulltime","          30"," 0.102654507"
"CA","F","San Francisco","12DEC2012","fulltime","          34","0.2177969195"
"CA","Woman","Los Angeles","19FEB2013","fulltime","          28","0.1970849336"
"CA","M","San Francisco","15MAY2012","fulltime","          34"," 0.307983305"
"CA","Female","Los Angeles","08OCT2012","fulltime","          29","0.1790263132"
"CA","Female","Los Angeles","19FEB2013","fulltime","          29","0.1039889711"
"CA","F","San Francisco","15SEP2013","fulltime","          28","0.7685529551"
"Washington","F","Seatlle","30MAR2012","fulltime","          28","0.0914525432"
"CA","F","San Jose","14OCT2013","fulltime","          41","0.9626745605"
"CA","Woman","Los Angeles","19FEB2013","fulltime","          29","0.0401169481"
"WA","F","Seatlle","10JUL2013","fulltime","          37","0.7428667004"
"Arizona","M","Phoenix","01MAY2012","other","          26","0.0496077421"
"NV","F","Las Vegas","30JUN2012","fulltime","          48","0.3368903698"
"AZ","F","Phoenix","10JUL2013","fulltime","          50","0.3727941049"
"AZ","M","Tucson","30JUN2012","fulltime","          28"," 0.219985603"
"CO","M","Denver","30MAR2013","parttime","          29","0.2065801025"
"AZ","M","Phoenix","27OCT2013","other","          58","0.2368749395"
"CA","Man","Los Angeles","24SEP2012","fulltime","          42","0.1793290443"
"WY","F","CHeyenne","05OCT2013","parttime","          28","0.8932545953"
"UT","M","provo","10FEB2012","fulltime","          34","0.9522446762"
"NV","M","Las Vegas","14OCT2013","fulltime","          41","0.8246335829"
"Wyoming","M","CHeyenne","18MAY2014","parttime","          39","0.6721865179"
"WA","M","Seattle","19SEP2013","fulltime","          29","0.2545690202"
"Washington","M","Seattle","15FEB2014","fulltime","          39","0.4898679869"
"AZ","F","Phoenix","06DEC2012","fulltime","          36","0.4324347933"
"Wyoming","F","CHeyenne","04MAY2014","parttime","          29","0.7207455895"
"Arizona","M","Phoenix","26AUG2012","fulltime","          29","0.2736620392"
"OR","M","PORTland","01MAY2012","other","          40","0.2830042389"
"CA","M","San Jose","19JAN2014","fulltime","          30","0.4122974819"
"CA","M","Los Angeles","13AUG2013","fulltime","          41","0.4694559208"
"CO","M","Denver","30MAR2013","fulltime","          33","0.1032433059"
"Nevada","F","Las Vegas","05APR2012","fulltime","          26","0.8789527104"
"NV","F","Las Vegas","04MAY2012","fulltime","          33"," 0.715888148"
"ID","F","BOISE","30MAR2013","parttime","          53","0.2129281239"
"OR","M","PORTland","25NOV2013","other","          32","0.1694878336"
"CA","M","San Francisco","16APR2014","fulltime","          60"," 0.328255213"
"ID","M","BOISE","22MAY2014","parttime","          43","0.1998639783"
"CA","M","San Jose","25JUL2013","fulltime","          30","0.4953428523"
"CA","M","Los Angeles","19FEB2013","fulltime","          34","0.1849642327"
"Nevada","M","Las Vegas","05APR2012","fulltime","          26","0.0591447628"
"UT","F","provo","28AUG2012","fulltime","          57","0.9608686683"
"ID","M","BOISE","01APR2013","parttime","          28","0.6287118549"
"UT","M","provo","08DEC2013","fulltime","          28","0.0592693389"
"CO","M","Denver","05APR2012","fulltime","          31","0.5872955502"
"CA","M","San Diego","25MAR2013","fulltime","          35"," 0.388953339"
"Wyoming","M","CHeyenne","25MAR2013","parttime","          30","0.0592772551"
"CO","M","Denver","27DEC2012","fulltime","          63","0.2728652331"
"OR","M","PORTland","12DEC2012","other","          33","0.1192881507"
"CA","Male","Los Angeles","13SEP2012","fulltime","          28","0.2478473756"
"WA","M","Seattle","21NOV2012","fulltime","          28","0.1538850046"
"AZ","M","Tucson","22MAY2014","parttime","          34","0.2516731714"
"CA","M","San Diego","06DEC2012","fulltime","          55","0.0397980507"
"NV","M","Las Vegas","03APR2012","fulltime","          32","0.9067386956"
"ID","F","BOISE","05DEC2013","parttime","          28","0.2666742645"
"Arizona","F","Tucson","13JAN2014","parttime","          43","0.1729758988"
"UT","F","provo","03APR2012","fulltime","          50"," 0.547656514"
"CA","F","San Francisco","17MAY2014","fulltime","          30","0.9880136279"
"UT","M","provo","06MAY2014","fulltime","          30","0.9863366852"
"CA","Male","Los Angeles","19FEB2013","fulltime","          36","0.9273812482"
"ID","F","BOISE","11AUG2013","fulltime","          28","0.9785027518"
"CA","Male","Los Angeles","19FEB2013","fulltime","          38","0.9054930401"
"CA","Female","Los Angeles","13AUG2013","fulltime","          27","0.5380909119"
"WA","F","Seatlle","19SEP2013","fulltime","          46","0.2910820531"
"CA","F","San Jose","06APR2014","fulltime","          31","0.4099243723"
"CA","M","San Jose","15NOV2013","fulltime","          28","0.3473083388"
"Washington","F","Seatlle","25MAR2013","fulltime","          28","0.4671601609"
"CA","M","San Jose","30MAR2013","fulltime","          39","0.7502927835"
"Arizona","M","Phoenix","30JUN2012","fulltime","          61","0.3965974922"
"ID","M","BOISE","11AUG2013","fulltime","          34","0.9464787878"
"Wyoming","M","CHeyenne","26JAN2012","parttime","          35","0.3692130877"
"CA","F","Los Angeles","28NOV2013","fulltime","          30"," 0.799419884"
"CA","M","San Francisco","28NOV2013","fulltime","          31","0.3746332053"
"Washington","F","Seatlle","03APR2012","fulltime","          42","  0.15374118"
"NV","F","Las Vegas","10JUL2013","fulltime","          34","0.4549766925"
"OR","M","PORTland","05DEC2013","other","          43","0.7996151642"
"AZ","F","Phoenix","28NOV2013","other","          29","0.0671479367"
"Nevada","F","Las Vegas","07FEB2012","fulltime","          37","0.3668705385"
"WA","M","Seattle","06APR2014","fulltime","          54","0.2425892904"
"CO","F","Denver","18MAY2014","parttime","          39","0.8167277793"
"Arizona","F","Tucson","04JAN2014","fulltime","          39","0.3173818552"
"WA","F","Seatlle","15MAY2012","fulltime","          28"," 0.070252941"
"OR","M","PORTland","09FEB2014","other","          47","0.3979104987"
"NV","F","Las Vegas","03APR2012","fulltime","          32","0.7299671083"
"WA","F","Seatlle","30NOV2013","fulltime","          32","0.8493155226"
"WA","M","Seattle","05OCT2013","fulltime","          53","0.1339283912"
"CA","M","San Diego","01APR2013","fulltime","          36","0.1678357442"
"OR","F","PORTland","25AUG2012","other","          29","0.7112020076"
"Washington","M","Seattle","21NOV2012","fulltime","          43","0.1500155251"
"Washington","M","Seattle","15JAN2012","fulltime","          34","0.6966542833"
"CA","M","San Francisco","26JAN2012","fulltime","          38","0.8840322862"
"Washington","F","Seatlle","04AUG2013","fulltime","          58","0.5926696493"
"WY","M","CHeyenne","07FEB2012","parttime","          35"," 0.371611613"
"NV","F","Las Vegas","03APR2014","fulltime","          28","0.9055530373"
"UT","F","provo","05SEP2013","fulltime","          37","0.6160580398"
"WY","F","CHeyenne","17MAY2014","parttime","          41","0.5117233435"
"CA","M","San Francisco","03APR2012","fulltime","          33","0.3278192185"
"WY","F","CHeyenne","31OCT2012","parttime","          59","0.8332394091"
"CO","M","Denver","21NOV2012","parttime","          58","0.9048409126"
"WA","M","Seattle","25JUL2013","fulltime","          37","0.8261588895"
"AZ","M","Phoenix","01APR2013","fulltime","          32","0.8172194379"
"WA","M","Seattle","17MAY2014","fulltime","          36","0.6404491419"
"NV","M","Las Vegas","10JUN2013","fulltime","          63","0.4007575807"
"Wyoming","M","CHeyenne","05APR2012","parttime","          31","0.1232916234"
"OR","M","PORTland","30MAR2013","other","          34","0.6448030517"
"WA","M","Seattle","27DEC2012","fulltime","          36","0.6249841175"
"UT","M","provo","30MAR2013","fulltime","          36","0.1606302113"
"AZ","F","Tucson","25OCT2012","fulltime","          60","0.8907783674"
"NV","F","Las Vegas","30MAR2012","fulltime","          54"," 0.019842979"
"NV","M","Las Vegas","21NOV2012","fulltime","          41","0.6939655043"
"CA","Male","Los Angeles","19FEB2013","fulltime","          28","0.2942122022"
"Arizona","M","Phoenix","01OCT2012","fulltime","          28","0.9644401031"
"UT","F","provo","21FEB2012","fulltime","          30","0.0263766768"
"AZ","M","Phoenix","10OCT2013","other","          26"," 0.434785343"
"OR","F","PORTland","08MAR2012","other","          51","0.4185440724"
"Washington","F","Seatlle","27DEC2012","fulltime","          34","0.7767700338"
"CA","F","Los Angeles","01APR2013","fulltime","          29","0.0232094471"
"CO","F","Denver","30JUN2012","parttime","          27","0.4229600618"
"UT","F","provo","01OCT2012","fulltime","          31","0.6976173304"
"Wyoming","M","CHeyenne","27OCT2013","parttime","          31","0.9800509112"
"WY","F","CHeyenne","26AUG2012","parttime","          28","0.2559266078"
"CA","F","San Diego","28MAR2014","fulltime","          33","0.5252490246"
"CA","M","San Francisco","10JUN2013","fulltime","          30","0.1908107843"
"CA","F","Los Angeles","21MAY2014","fulltime","          28","0.4687232359"
"UT","F","provo","08MAY2013","fulltime","          41","0.3535361385"
"CA","M","San Francisco","30NOV2013","fulltime","          34","0.2698314121"
"CA","F","San Francisco","13AUG2013","fulltime","          39","0.8984973286"
"NV","F","Las Vegas","06SEP2012","fulltime","          36","0.1766904719"
"OR","F","PORTland","05NOV2012","other","          32","0.2187644887"
"NV","M","Las Vegas","06MAY2014","fulltime","          34","0.2630428962"
"CA","F","San Francisco","26JAN2012","fulltime","          31","0.9200506815"
"Nevada","F","Las Vegas","05JAN2012","fulltime","          29","0.4032532668"
"ID","M","BOISE","01OCT2012","fulltime","          47","0.7097323447"
"CA","F","San Francisco","06APR2014","fulltime","          33","0.4519624335"
"AZ","F","Phoenix","12DEC2012","fulltime","          36","0.4595056341"
"UT","M","provo","10JUN2013","fulltime","          52","0.0961481631"
"Washington","M","Seattle","15MAR2012","fulltime","          39","0.2455439499"
"Arizona","F","Phoenix","04JAN2014","fulltime","          39","0.2817683952"
"Arizona","M","Tucson","08DEC2013","parttime","          40","0.3241031674"
"OR","M","PORTland","06MAY2014","other","          29"," 0.593540265"
"CA","F","San Diego","28MAR2014","fulltime","          29","0.5925120966"
"AZ","M","Tucson","20JUN2013","fulltime","          39","0.2312809584"
"Wyoming","F","CHeyenne","25JUL2013","parttime","          28","0.4890668478"
"NV","M","Las Vegas","04JAN2014","fulltime","          29"," 0.432316364"
"Arizona","M","Phoenix","13AUG2013","fulltime","          32"," 0.204021359"
"CA","F","San Francisco","25MAR2013","fulltime","          41","0.6463758967"
"Arizona","F","Tucson","05APR2012","fulltime","          43","0.9362742658"
"CA","M","San Jose","15MAY2012","fulltime","          42","0.7013269242"
"CA","F","San Jose","05MAR2012","fulltime","          38","0.0263133058"
"Arizona","M","Phoenix","06JUL2013","fulltime","          55","0.1570248828"
"CA","M","San Jose","16MAY2014","fulltime","          39","0.8791257222"
"CA","Female","Los Angeles","16MAY2013","fulltime","          29","0.7529261498"
"CA","F","San Diego","15JUN2012","fulltime","          26","0.1684169812"
"WA","F","Seatlle","20MAR2013","fulltime","          28","0.2782268544"
"NV","M","Las Vegas","30MAR2013","fulltime","          28","0.1850685194"
"CO","M","Denver","09FEB2014","fulltime","          31","0.9382210052"
"Wyoming","M","CHeyenne","16MAY2014","parttime","          33","0.4112593361"
"UT","F","provo","04MAY2014","fulltime","          42"," 0.282007923"
"WA","M","Seattle","15SEP2013","fulltime","          46","0.4161146746"
"Nevada","M","Las Vegas","15MAR2012","fulltime","          58","0.9622933762"
"CA","M","San Francisco","12DEC2012","fulltime","          34"," 0.250271442"
"Wyoming","M","CHeyenne","05JAN2012","parttime","          34"," 0.603284586"
"CA","F","San Diego","05SEP2013","fulltime","          28","0.4132214912"
"WA","M","Seattle","04JUN2013","fulltime","          36"," 0.762177958"
"ID","F","BOISE","29MAR2014","parttime","          36","0.7828359263"
"WA","F","Seatlle","13JAN2014","fulltime","          37","0.5081479719"
"CA","F","Los Angeles","28NOV2013","fulltime","          51","0.9068964375"
"Washington","M","Seattle","09MAY2013","fulltime","          45","0.8561796392"
"CA","M","San Francisco","25NOV2013","fulltime","          63","0.2618245102"
"CA","F","San Diego","08JUN2012","fulltime","          45","0.2109417008"
"ID","F","BOISE","30MAR2013","parttime","          35","0.9677520958"
"Nevada","M","Las Vegas","24APR2013","fulltime","          28","  0.81139372"
"CA","M","San Jose","27OCT2013","fulltime","          40","0.8731475961"
"UT","F","provo","01OCT2012","fulltime","          26","0.6950871054"
"AZ","F","Phoenix","16MAY2013","fulltime","          36","0.4691762721"
"CO","F","Denver","05DEC2013","parttime","          28","0.6949036995"
"WA","M","Seattle","05MAR2012","fulltime","          29","0.4133493171"
"OR","F","PORTland","09MAY2013","other","          32","0.0148481703"
"OR","F","PORTland","03APR2014","other","          26","0.1400021795"
"OR","F","PORTland","30MAR2013","other","          34","0.4513406374"
"OR","M","PORTland","15MAY2012","other","          29","0.1808559975"
"NV","M","Las Vegas","27DEC2012","fulltime","          32","0.4643139967"
"OR","F","PORTland","15MAR2012","other","          29","0.3999463582"
"OR","M","PORTland","01JUN2012","other","          41","0.0465511326"
"AZ","F","Phoenix","14OCT2013","fulltime","          34","0.5679265273"
"CA","F","San Diego","21FEB2012","fulltime","          33","0.6847758599"
"CA","F","San Francisco","08MAY2013","fulltime","          29","0.2016572073"
"CA","F","San Francisco","25NOV2013","fulltime","          32","0.4430898328"
"CO","F","Denver","25OCT2012","parttime","          29","0.9777066959"
"CA","M","Los Angeles","18MAY2014","fulltime","          30","0.9032407784"
"CA","M","San Diego","16JUL2012","fulltime","          31","0.8467981093"
"Wyoming","M","CHeyenne","15MAY2012","parttime","          38","0.7567226136"
"CA","M","San Diego","01OCT2012","fulltime","          29","0.4295335912"
"CA","M","San Francisco","08OCT2012","fulltime","          53","0.5141064122"
"CA","M","San Francisco","19JAN2014","fulltime","          31","0.9839249123"
"UT","M","provo","13AUG2013","fulltime","          30","0.8425316116"
"CA","Male","Los Angeles","16APR2014","fulltime","          29","0.9320465992"
"Arizona","M","Phoenix","27OCT2013","fulltime","          28","0.6922788963"
"WY","F","CHeyenne","10JUN2013","parttime","          42","0.6772878019"
"CA","F","San Francisco","06SEP2012","fulltime","          32","0.7067884983"
"NV","F","Las Vegas","10OCT2013","fulltime","          32","0.9256721213"
"CA","F","San Jose","05JAN2012","fulltime","          29","0.2926363336"
"Wyoming","F","CHeyenne","01APR2013","parttime","          61","0.8890610905"
"AZ","M","Phoenix","22MAY2014","fulltime","          38","0.1121447781"
"CA","F","San Jose","04DEC2012","fulltime","          31","0.1288027741"
"Washington","M","Seattle","08JUN2012","fulltime","          35","0.7748854751"
"CA","F","San Diego","30JUN2012","fulltime","          29","0.9079213524"
"CO","M","Denver","21NOV2012","parttime","          61","0.8606097698"
"Nevada","M","Las Vegas","18MAY2014","fulltime","          52","0.6456453738"
"CA","F","San Francisco","12APR2013","fulltime","          45","0.5989499006"
"CA","M","San Diego","30JUN2012","fulltime","          39","0.9003887553"
"CA","Female","Los Angeles","04DEC2012","fulltime","          30","0.7702292291"
"AZ","M","Tucson","16APR2014","parttime","          38","0.7508941203"
"ID","M","BOISE","30MAR2012","fulltime","          30","0.6963833793"
"CA","M","San Diego","08JUN2012","fulltime","          45","0.1899276665"
"NV","M","Las Vegas","17APR2012","fulltime","          28","0.0449791174"
"CA","M","San Francisco","14OCT2013","fulltime","          45","0.4723361444"
"AZ","F","Tucson","07MAR2013","parttime","          36","0.8373212069"
"CO","M","Denver","01MAY2012","parttime","          45","0.8957250379"
"OR","F","PORTland","04JAN2014","other","          63","0.7361009935"
"Arizona","F","Phoenix","30MAR2013","fulltime","          36","0.1267814977"
"OR","F","PORTland","05DEC2013","other","          28","0.9926219992"
"ID","F","BOISE","01JUN2012","fulltime","          26","0.3544805587"
"CA","F","San Diego","06JUL2013","fulltime","          54","0.7355381934"
"CA","Female","Los Angeles","19FEB2013","fulltime","          37","0.0335745197"
"Arizona","F","Phoenix","31OCT2012","fulltime","          29","0.6836431938"
"Wyoming","F","CHeyenne","14OCT2013","parttime","          38"," 0.780619366"
"AZ","M","Tucson","16APR2014","parttime","          30","0.6862255622"
"Arizona","M","Phoenix","05APR2012","fulltime","          52","0.6543377776"
"CA","M","San Francisco","05DEC2013","fulltime","          51","0.0072895503"
"Arizona","M","Phoenix","08MAR2012","fulltime","          41"," 0.982071497"
"Arizona","F","Tucson","12APR2013","fulltime","          29","0.5162763011"
"AZ","F","Phoenix","26AUG2012","fulltime","          29","0.2845998915"
"CO","M","Denver","28AUG2012","fulltime","          30","0.8783595557"
"WA","F","Seatlle","03APR2014","fulltime","          33","0.9616822004"
"ID","M","BOISE","26JAN2012","parttime","          44"," 0.065246088"
